Season,Episode,Dialog
2.2,Episode 2,fucking hell lads calm
2.2,Episode 2,put ollie
2.2,Episode 2,put mate little
2.2,Episode 2,well brave lad
2.2,Episode 2,want take look bakery
2.2,Episode 2,bake sorts mate yeah
2.2,Episode 2,know bake 10 000 loaves week
2.2,Episode 2,believe
2.2,Episode 2,bake white bread bake brown bread
2.2,Episode 2,bake sorts
2.2,Episode 2,would like try
2.2,Episode 2,bread
2.2,Episode 2,yeah
2.2,Episode 2,would like brown white
2.2,Episode 2,brown right
2.2,Episode 2,bad eh
2.2,Episode 2,bad
2.2,Episode 2,fucking awful stuff
2.2,Episode 2,fucking brown stuff horrible workers
2.2,Episode 2,yeah
2.2,Episode 2,white stuff bosses
2.2,Episode 2,come look
2.2,Episode 2,well heard bad bad bad things birmingham people
2.2,Episode 2,gypsies right
2.2,Episode 2,live fucking tent caravan
2.2,Episode 2,well rum fun fucking innit
2.2,Episode 2,whisky
2.2,Episode 2,business
2.2,Episode 2,suit
2.2,Episode 2,say life saved policeman
2.2,Episode 2,well like policemen policemen trusted
2.2,Episode 2,war mate
2.2,Episode 2,carried personal form stigmata italian
2.2,Episode 2,pushed face trench shoved six inch nail fucking nose hammered home duck board
2.2,Episode 2,fucking biblical mate
2.2,Episode 2,come sit chair tell losing war fucking wop
2.2,Episode 2,realistic yeah
2.2,Episode 2,realistic
2.2,Episode 2,really
2.2,Episode 2,forget fucking telegram telegram said hello
2.2,Episode 2,simple want sell something
2.2,Episode 2,fuck
2.2,Episode 2,categorical
2.2,Episode 2,fucking ridiculous
2.2,Episode 2,bloke shot billy kimber right
2.2,Episode 2,fucking shot
2.2,Episode 2,fucking betrayed mate
2.2,Episode 2,entirely appropriate thinking head right
2.2,Episode 2,intelligence
2.2,Episode 2,intelligence valuable thing innit friend
2.2,Episode 2,usually comes far fucking late
2.2,Episode 2,let say shot already right fucking face
2.2,Episode 2,bullet goes bone mush bone cabinet
2.2,Episode 2,shame innit cause cabinet fucked got get shot
2.2,Episode 2,fucking simple mate
2.2,Episode 2,cut cabinet half
2.2,Episode 2,literally cut cabinet cut
2.2,Episode 2,cut cabinet literally half mate
2.2,Episode 2,take one half cabinet right put barrel take half cabinet pieces put another barrel right
2.2,Episode 2,send barrel mandalay
2.2,Episode 2,barrel somewhere like know
2.2,Episode 2,timbuktu
2.2,Episode 2,ever
2.2,Episode 2,would like go
2.2,Episode 2,know always thought great big fucking gold ring nose
2.2,Episode 2,sorry go
2.2,Episode 2,tell us plan
2.3,Episode 3,next lad
2.3,Episode 3,name
2.3,Episode 3,abbey heath profession
2.3,Episode 3,good lad fill fuck
2.3,Episode 3,next lad
2.3,Episode 3,name
2.3,Episode 3,buddy halls right profession
2.3,Episode 3,good lad fill fuck
2.3,Episode 3,next lad
2.3,Episode 3,name
2.3,Episode 3,billy kitchen occupation
2.3,Episode 3,fill
2.3,Episode 3,um tommy shelby mate
2.3,Episode 3,never give power big man tell
2.3,Episode 3,never give power big man
2.3,Episode 3,next lad
2.3,Episode 3,name
2.3,Episode 3,wake
2.3,Episode 3,granted teeth left wiser man
2.3,Episode 3,last thing remember funny little joke
2.3,Episode 3,right
2.3,Episode 3,fucking rules
2.3,Episode 3,yeah fucking rules fucking reason
2.3,Episode 3,quite simply obeyed right
2.3,Episode 3,rule number one
2.3,Episode 3,distinction bread rum yeah discussed
2.3,Episode 3,rule number two
2.3,Episode 3,anything right superior officer says fucking superior officers say yeah
2.3,Episode 3,discussed
2.3,Episode 3,rule number three four five six seven eight nine care
2.3,Episode 3,rest fucking miserable measly lives yeah
2.3,Episode 3,like also complete fucking sodomite
2.3,Episode 3,jewish women
2.3,Episode 3,go anywhere near jewish women fucking menu
2.3,Episode 3,think fair
2.3,Episode 3,hmm oh yeah
2.3,Episode 3,forgive interrupted
2.4,Episode 4,know eden club yes
2.4,Episode 4,know know know
2.4,Episode 4,know fucking know
2.4,Episode 4,uh talk right genuinely want hear
2.4,Episode 4,right talk fucking tell right
2.4,Episode 4,happened
2.4,Episode 4,time talking dirty fucking jews
2.4,Episode 4,fucking time dirty fucking jews dirty kikes dirty dustbin lids
2.4,Episode 4,want talk getting places
2.4,Episode 4,going fucking mention right great big fuck elephant room
2.4,Episode 4,many bookies worked epsom last may
2.4,Episode 4,none none
2.4,Episode 4,one
2.4,Episode 4,sorry saying mate
2.4,Episode 4,saying sorry
2.4,Episode 4,sorry jew thing
2.4,Episode 4,really
2.4,Episode 4,want writing write said sorry
2.4,Episode 4,also write bookies go back epsom
2.4,Episode 4,asking
2.4,Episode 4,friend
2.4,Episode 4,yeah fucking control mate
2.4,Episode 4,come canal spread like fucking clap
2.4,Episode 4,mmm
2.4,Episode 4,yeah
2.4,Episode 4,mmm yeah
2.4,Episode 4,oh much better mate yeah
2.4,Episode 4,mmm
2.4,Episode 4,right writing kind deal thing right
2.4,Episode 4,written deal good
2.4,Episode 4,well discuss border italians jews going back farringdon road
2.4,Episode 4,yeah farringdon road
2.4,Episode 4,write farringdon road
2.4,Episode 4,farringdon road
2.4,Episode 4,write farringdon
2.4,Episode 4,farringdon
2.4,Episode 4,write peace
2.4,Episode 4,write peace right jews italians
2.4,Episode 4,hmm
2.5,Episode 5,gentlemen welcome welcome
2.5,Episode 5,must arthur
2.5,Episode 5,arthur arthur
2.5,Episode 5,heard much
2.5,Episode 5,passover started way far east sand desert forefathers come
2.5,Episode 5,know jews brews whatever want call
2.5,Episode 5,started little speck horizon
2.5,Episode 5,billy worry mate know mean want leave
2.5,Episode 5,need go little boys room leave
2.5,Episode 5,going open em minute
2.5,Episode 5,want stay
2.5,Episode 5,stay treacle
2.5,Episode 5,okay pharaoh heard
2.5,Episode 5,kept people jewish people sl thousands thousands years
2.5,Episode 5,persecuted race
2.5,Episode 5,killing innocent right
2.5,Episode 5,seder feast
2.5,Episode 5,seder basically day jewish angels decided know evil fucking egyptians pushed fucking luck
2.5,Episode 5,part tradition seder right order make good god kill king carry korban pesach
2.5,Episode 5,ritual sacrifice passover goat
2.5,Episode 5,yeah gonna sacrifice
2.5,Episode 5,tonight part reason shut doors well
2.5,Episode 5,year thought give fucking goat name
2.5,Episode 5,fucking yeah
2.5,Episode 5,evil fucking egyptian pharaoh
2.5,Episode 5,right
2.5,Episode 5,know called
2.5,Episode 5,right let take load
2.5,Episode 5,evil egyptian scum finally cleansed blood passover goat mate
2.5,Episode 5,sabini
2.5,Episode 5,fucking animal come right fucking g n razor shot face
2.5,Episode 5,lads restrained
2.5,Episode 5,look dead dead
2.5,Episode 5,fucking dead
2.5,Episode 5,wants arresting something right
2.5,Episode 5,surely
2.6,Episode 6,probably
2.6,Episode 6,right side street swept
2.6,Episode 6,mine
2.6,Episode 6,got
2.6,Episode 6,yeah
2.6,Episode 6,know even going lawyer look
2.6,Episode 6,know legal know mate trust done
2.6,Episode 6,whisky
2.6,Episode 6,uh one thing though need discuss
2.6,Episode 6,says 20
2.6,Episode 6,paid export business
2.6,Episode 6,see lawyer draw us case
2.6,Episode 6,says 100 business goes
2.6,Episode 6,worry right cause totally legal binding
2.6,Episode 6,sign document transfer whole lot
2.6,Episode 6,yeah
2.6,Episode 6,yeah
2.6,Episode 6,ollie
2.6,Episode 6,put understands understands
2.6,Episode 6,big boy knows road look non fucking negotiable
2.6,Episode 6,need know
2.6,Episode 6,sign fucking contract
2.6,Episode 6,right
2.6,Episode 6,pen
2.6,Episode 6,get
2.6,Episode 6,tommy going fucking shoot
2.6,Episode 6,right
2.6,Episode 6,happened
2.6,Episode 6,yeah
2.6,Episode 6,right ollie want go outside yeah shoot boy face good family right
2.6,Episode 6,bet 100 1 fucking lying mate money
2.6,Episode 6,ok right well considering form would say 65 1 good odds
2.6,Episode 6,would happy agree sign 65 business
2.6,Episode 6,make
2.6,Episode 6,behaving like fucking child
2.6,Episode 6,man world
2.6,Episode 6,take apron sit corner like little boy
2.6,Episode 6,fuck
2.6,Episode 6,four minutes right four minutes
2.6,Episode 6,talk hand grenades
2.6,Episode 6,based
2.6,Episode 6,forty five percent
2.6,Episode 6,oh fuck tommy
2.6,Episode 6,far little
2.6,Episode 6,funny
2.6,Episode 6,know 179
2.6,Episode 6,heard got buried
2.6,Episode 6,like digging
2.6,Episode 6,fuck
2.6,Episode 6,listen give 35
2.6,Episode 6,lot
3.5,Episode 5,yeah
3.5,Episode 5,nice little place got thomas
3.5,Episode 5,foreclosure gambling debt poor young lord pumped full opium one casinos tittle tattle
3.5,Episode 5,nah touch mate
3.5,Episode 5,housekeeper said allowed drink
3.5,Episode 5,eh
3.5,Episode 5,said suffering many ancient injuries sporting life head like sort smashed vase stuck back together horse
3.5,Episode 5,word london found wandering streets birmingham stark naked throwing away money
3.5,Episode 5,talk dead people
3.5,Episode 5,also believe powerful enough summon jews particular standing gentile wilderness wherein live order fucking bidding mate
3.5,Episode 5,yeah well know passing
3.5,Episode 5,right
3.5,Episode 5,right well
3.5,Episode 5,know man make pair
3.5,Episode 5,magician mate
3.5,Episode 5,magician
3.5,Episode 5,able read newspaper also able see future
3.5,Episode 5,know right made pair
3.5,Episode 5,worry telling already seen
3.5,Episode 5,fucking russians silly boy
3.5,Episode 5,shalom
3.5,Episode 5,arthur shalom
3.5,Episode 5,shalom
3.5,Episode 5,come come let sit
3.5,Episode 5,owe little something
3.5,Episode 5,come
3.5,Episode 5,sit
3.5,Episode 5,come sit
3.5,Episode 5,go
3.5,Episode 5,right
3.5,Episode 5,listen
3.5,Episode 5,arthur
3.5,Episode 5,want know right whatever happened us yeah back
3.5,Episode 5,business
3.5,Episode 5,business right
3.5,Episode 5,also want know made apologies via god abusing holy day get clinked battered
3.5,Episode 5,would also like extend personal apologies unto
3.5,Episode 5,right
3.5,Episode 5,hear allowed jesus come life
3.5,Episode 5,eh
3.5,Episode 5,yeah beautiful wonderful
3.5,Episode 5,lovely
3.5,Episode 5,lovely
3.5,Episode 5,wondering work day day considering line work mate
3.5,Episode 5,cause hear right fucking nuisance
3.5,Episode 5,hello
3.5,Episode 5,listen saying every man craves certainty
3.5,Episode 5,craves certainty even certainty right
3.5,Episode 5,well mean
3.5,Episode 5,fucking fanciful mate innit
3.5,Episode 5,eh
3.5,Episode 5,fucking hell look
3.5,Episode 5,scares
3.5,Episode 5,yeah
3.5,Episode 5,congratulations tommy
3.5,Episode 5,finished article right
3.5,Episode 5,see man right rder maim god side
3.5,Episode 5,yeah
3.5,Episode 5,want let go
3.5,Episode 5,think trust tommy
3.5,Episode 5,yes trust yes
3.5,Episode 5,might add old invoice
3.5,Episode 5,thank thank
3.5,Episode 5,may start right saying may choose stay starve death choke sapphires never go back fucking world
3.5,Episode 5,yeah well good reason know little man
3.5,Episode 5,shop right rum house
3.5,Episode 5,yeah
3.5,Episode 5,cause mum
3.5,Episode 5,yeah mother
3.5,Episode 5,people right
3.5,Episode 5,hunted mum dogs snow
3.5,Episode 5,yeah
3.5,Episode 5,today right forgiveness innit
3.5,Episode 5,selection
3.5,Episode 5,hello
3.5,Episode 5,right think fair say yeah 1 500
